#	"Day"	"Source city ID"	"Target city ID"	"Value"
23	1013	997	16
27	1013	2532	8
29	1013	2305	2
31	1013	1032	2
33	1013	1024	16
36	1013	992	8
37	1013	1015	16
40	1013	1012	16
43	1013	3004	2
45	3004	742	8
47	1013	1031	2
47	1013	1034	16
48	1013	733	2
48	1013	1004	16
48	1013	1023	24
48	1013	1036	16
48	1013	2334	16
48	1013	2533	8
50	1013	596	16
50	1013	1018	2
50	1013	1027	16
52	1013	2217	8
52	1036	2429	16
53	1013	981	16
53	1013	1010	8
54	1013	1037	8
55	1013	999	8
55	1013	2777	8
55	1023	2518	2
55	1036	2335	8
56	1013	837	2
56	1013	1008	16
57	1013	1000	16
57	1013	1714	16
57	1036	2366	2
58	1013	1535	16
58	1013	2341	2
58	1024	996	8
58	1036	2034	16
59	1013	1003	16
59	1013	2393	16
59	1013	2396	16
59	1013	3099	16
59	1023	2393	2
60	1013	989	2
60	1013	1560	8
60	1013	2682	16
60	2533	2125	8
61	742	732	16
61	1036	2528	16
62	1013	983	2
62	1013	990	24
62	1013	1021	16
62	1013	2229	16
62	1036	2642	8
62	2334	2479	8
63	1013	1026	2
63	1013	2375	18
63	1023	2401	8
63	2334	1603	8
64	997	2623	2
64	997	2766	16
64	1013	982	16
64	1013	1017	8
64	1013	1025	16
64	1036	244	16
64	1036	2212	2
64	1036	2441	16
64	1036	2501	2
65	1013	994	16
65	1013	1022	16
65	1013	1035	8
65	1013	2874	8
65	1036	791	8
65	1036	2716	16
66	1013	991	2
66	1013	1029	2
66	1013	2204	16
66	1013	2524	8
66	1013	3093	8
66	2533	2453	2
67	1013	2042	8
67	1036	2417	2
68	742	1205	2
68	1013	1006	2
68	1013	2489	16
68	1022	2299	16
68	1036	2195	8
68	2334	2218	8
68	2533	2181	16
69	742	750	2
70	742	752	8
70	1013	1377	16
70	1036	492	2
70	1036	3205	16
71	1036	2162	8
71	1036	3250	8
71	2375	2397	16
72	1036	2408	2
72	2533	2272	16
73	596	599	8
73	1013	2214	16
73	1036	2190	16
73	1036	2224	8
73	1036	2257	16
73	1036	2265	2
73	1036	2517	16
74	1022	2648	8
74	1036	720	16
74	1036	1201	2
74	1036	2077	2
74	1036	2465	8
74	1036	3127	2
75	1013	802	2
75	1024	1990	16
75	1036	197	2
75	1036	519	16
75	1036	1216	16
75	1036	2432	8
75	1036	2733	16
75	2217	2720	16
76	1036	654	16
76	1036	2336	8
76	1036	2701	8
76	2532	2398	16
77	997	2725	16
77	1013	276	18
77	1036	1977	16
77	1036	2099	2
77	1036	2230	2
77	1036	2303	16
77	1036	2437	16
77	1036	2610	8
77	2375	412	8
78	720	2904	2
78	1024	1028	16
78	1036	2270	2
78	1036	2530	16
78	2204	2143	16
79	1022	2175	2
79	1023	2343	2
79	1036	789	16
79	1036	2508	16
79	1036	2643	16
80	750	1439	8
80	1024	1007	8
