label	location
N402|1377|83.052743	CO
N403|742|53.158025	DE
N404|742|51.884795	DE
N405|750|69.668518	DE
N406|752|83.266341	DE
N407|752|77.517341	DE
N408|1205|82.191629	IL
N409|1205|73.7459	IL
N410|982|66.599879	MX
N411|982|71.025706	MX
N414|3099|77.287411	IT
N415|2214|74.032028	US
N412|473|82.252598	CN
N413|599|78.265847	PH
N418|2375|81.909948	US
N417|2397|79.704732	US
N416|412|80.514302	CN
N419|2274|83.467874	US
N420|1031|47.04749	MX
N421|1031|70.588527	MX
N422|2175|80.979119	US
N424|2648|78.348413	CA
N425|2648|79.106047	CA
N423|2614|83.751142	CA
N427|2272|72.201709	US
N428|2125|72.450155	US
N429|2125|69.530172	US
N426|2453|74.030464	US
N430|2217|61.434918	US
N431|2720|75.890166	CA
N432|983|82.840948	MX
N433|983|80.584105	MX
N434|2204|78.715015	US
N435|2204|80.266444	US
N440|1037|72.652951	MX
N441|999|65.196318	MX
N437|1000|57.787164	MX
N438|1000|73.295302	MX
N439|1000|68.137839	MX
N443|1036|51.633688	MX
N442|2304|81.576707	US
N444|519|83.353061	UY
N445|2639|82.483942	CA
N446|2639|82.2205	CA
N447|197|75.713328	PR
N448|3127|80.724506	JP
N449|2265|81.704126	US
N450|2465|81.560354	US
N456|720|78.45451	BE
N453|2904|80.853598	ES
N454|2904|82.309098	ES
N455|2904|81.302384	ES
N457|90|83.975809	BO
N451|2034|63.228466	BR
N452|2034|59.652692	BR
N459|1216|75.500844	PE
N460|2295|83.279345	US
N458|2501|66.919172	US
N461|791|76.322666	GB
N462|791|73.548906	GB
N463|2333|83.835314	US
N464|2162|83.253823	US
N465|2162|79.005359	US
N470|2257|76.352924	US
N471|2335|83.334533	US
N472|2335|60.775886	US
N468|2144|83.254282	US
N469|2144|82.899819	US
N466|2701|83.776011	CA
N467|2701|78.686178	CA
N473|2642|65.936054	CA
N474|2195|81.112852	US
N475|2716|73.642967	CA
N476|2716|79.518867	CA
N477|2432|82.558572	US
N478|3205|74.82855	AR
N479|3205|70.152537	AR
N480|2508|79.960531	US
N481|2643|82.490609	CA
N482|2429|54.892034	US
N483|2429|67.217248	US
N484|2925|83.059243	IE
N485|2194|81.294921	US
N486|1173|83.462674	NO
N436|1017|73.081774	MX
N489|2777|78.445554	CA
N490|2777|58.712058	CA
N491|2398|76.044025	US
N488|2334|74.946166	US
N492|2396|61.598925	US
N493|994|81.572815	MX
N494|994|83.245553	MX
N487|992|44.261921	MX
N495|1013|8.005043	MX
N496|1026|66.204458	MX
N497|1026|79.810318	MX
N498|2393|79.904991	US
N499|276|81.348268	CH
N500|1018|62.79044	MX
N501|1003|70.664118	MX
N400|1023|61.422277	MX
N401|2518|68.52286	US
N398|2343|83.374546	US
N399|2343|82.485717	US
intNode1	MX
intNode2	MX
intNode3	MX
intNode4	MX
intNode5	MX
intNode6	MX
intNode7	MX
intNode8	MX
intNode9	DE
intNode10	DE
intNode11	DE
intNode12	DE
intNode13	DE
intNode14	IL
intNode15	MX
intNode16	MX
intNode17	MX
intNode18	MX
intNode19	PH
intNode20	MX
intNode21	MX
intNode22	MX
intNode23	US
intNode24	US
intNode25	MX
intNode26	MX
intNode27	CA
intNode28	CA
intNode29	US
intNode30	US
intNode31	US
intNode32	MX
intNode33	MX
intNode34	US
intNode35	MX
intNode36	US
intNode37	MX
intNode38	MX
intNode39	MX
intNode40	MX
intNode41	MX
intNode42	MX
intNode43	MX
intNode44	MX
intNode45	MX
intNode46	MX
intNode47	MX
intNode48	MX
intNode49	CA
intNode50	MX
intNode51	MX
intNode52	MX
intNode53	MX
intNode54	MX
intNode55	MX
intNode56	MX
intNode57	MX
intNode58	MX
intNode59	BE
intNode60	ES
intNode61	ES
intNode62	BR
intNode63	MX
intNode64	MX
intNode65	GB
intNode66	MX
intNode67	US
intNode68	MX
intNode69	MX
intNode70	MX
intNode71	US
intNode72	US
intNode73	CA
intNode74	MX
intNode75	MX
intNode76	MX
intNode77	MX
intNode78	MX
intNode79	MX
intNode80	MX
intNode81	CA
intNode82	AR
intNode83	MX
intNode84	MX
intNode85	MX
intNode86	US
intNode87	MX
intNode88	MX
intNode89	MX
intNode90	MX
intNode91	MX
intNode92	MX
intNode93	MX
intNode94	MX
intNode95	CA
intNode96	MX
intNode97	MX
intNode98	MX
intNode99	MX
intNode100	MX
intNode101	MX
intNode102	MX
intNode103	US
