label	location
N398|2143|82.559499	US
N399|2229|68.48401	US
N400|990|70.781207	MX
N401|990|77.861964	MX
N402|2181|77.367421	US
N403|1023|69.584616	MX
N404|2518|59.599097	US
N405|2518|83.953859	US
N406|1015|83.725707	MX
N407|2489|77.804098	US
N408|802|77.757645	CR
N409|802|81.418547	CR
N410|2725|83.424336	CA
N411|1034|58.965084	MX
N415|2393|64.441726	US
N416|999|56.694714	MX
N417|2042|83.18108	BR
N414|1031|69.787678	MX
N418|992|46.489852	MX
N419|992|51.929751	MX
N420|2375|78.423981	US
N421|803|83.849357	CR
N422|803|83.408191	CR
N423|1714|75.137313	VE
N424|1714|61.836534	VE
N425|1004|60.346185	MX
N426|3004|56.77335	PA
N427|3004|72.594847	PA
N428|1439|80.832939	PT
N429|752|83.803619	DE
N430|752|74.623538	DE
N431|732|67.014457	DE
N412|1028|81.167362	MX
N413|2368|83.575074	US
N432|1008|61.278362	MX
N433|1008|71.574573	MX
N434|1008|63.122413	MX
N435|1008|63.972604	MX
N439|2257|82.521055	US
N440|2257|83.231869	US
N441|2925|83.563933	IE
N442|2925|83.751286	IE
N443|2506|83.274761	US
N444|2034|60.641238	BR
N445|2034|69.255868	BR
N436|1201|75.31555	DO
N437|1201|80.177347	DO
N438|1201|78.347033	DO
N447|2295|83.149254	US
N448|1984|83.691424	BR
N449|2643|83.457473	CA
N450|90|83.8848	BO
N446|2194|83.969039	US
N451|2270|83.084224	US
N452|2270|82.151456	US
N453|2333|82.609829	US
N454|2501|65.314831	US
N455|791|75.850843	GB
N457|1173|82.798727	NO
N458|2437|82.374092	US
N456|2716|72.325124	CA
N459|3205|75.929775	AR
N460|2223|81.668503	US
N461|2528|79.372544	US
N462|1699|83.081702	AT
N463|1699|82.346014	AT
N464|2242|81.550279	US
N465|1036|72.684065	MX
N466|1465|83.328586	EC
N467|3250|78.740224	CU
N468|3250|74.343762	CU
N469|3250|83.617601	CU
N470|1216|83.214523	PE
N471|2610|83.788832	CA
N473|2432|82.05956	US
N474|2288|82.673603	US
N472|2636|83.960008	CA
N475|2224|78.583003	US
N476|2733|82.832789	CA
N477|2733|81.482179	CA
N478|3127|78.10069	JP
N479|2639|83.720029	CA
N480|2884|81.637012	ES
N481|1701|82.815548	VE
N482|1701|83.965077	VE
N483|1377|73.485512	CO
N484|1377|80.309613	CO
N489|1032|77.042668	MX
N490|2299|70.415594	US
N491|2614|83.576428	CA
N492|2614|83.145962	CA
N486|2479|75.447579	US
N487|1603|68.24776	AU
N488|1603|78.900644	AU
N485|983|69.165066	MX
N493|473|82.754913	CN
N494|1758|81.706602	TR
N495|1758|81.351673	TR
