label	location
N398|3093|77.623689	IT
N399|3093|69.041657	IT
N400|2204|80.069576	US
N401|2204|79.885799	US
N402|1037|64.143761	MX
N403|990|63.950883	MX
N404|990|67.990226	MX
N405|1023|48.133195	MX
N406|1023|74.152168	MX
N407|2401|63.960527	US
N408|982|74.18716	MX
N409|1032|68.142576	MX
N410|1018|63.174248	MX
N411|2874|70.171101	ES
N412|2874|82.47072	ES
N413|2042|78.615985	BR
N414|1006|72.70395	MX
N415|1017|74.280902	MX
N416|1017|69.224533	MX
N417|2623|70.505067	CA
N418|2725|78.733762	CA
N419|2397|80.41803	US
N420|2397|74.417896	US
N421|2398|82.843078	US
N422|1026|76.324267	MX
N423|2061|83.163943	US
N424|735|81.068627	DE
N425|1024|79.376983	MX
N426|2777|61.577859	CA
N427|1000|64.016823	MX
N428|473|82.443501	CN
N429|599|75.077072	PH
N430|2217|81.937927	US
N431|2217|61.305145	US
N432|1036|57.844633	MX
N433|2501|76.585814	US
N434|2077|74.355753	US
N435|3127|75.402677	JP
N436|3127|74.10406	JP
N437|1701|82.467681	VE
N438|2295|83.494911	US
N439|1984|83.057995	BR
N440|2270|80.081954	US
N441|2270|78.728407	US
N442|90|83.187391	BO
N443|1465|82.395989	EC
N444|1465|82.791612	EC
N445|2437|81.528316	US
N446|2265|76.774255	US
N447|2265|74.655475	US
N448|244|78.661447	PY
N449|244|70.661847	PY
N450|2333|83.110305	US
N451|2195|77.390552	US
N452|791|69.589846	GB
N453|2223|81.926816	US
N454|2610|77.991487	CA
N455|2165|82.19321	US
N456|2165|83.479935	US
N457|2387|83.77701	US
N458|1036|58.766594	MX
N459|2242|81.127974	US
N460|720|76.505022	BE
N461|2034|83.22637	BR
N462|2144|83.221632	US
N463|1699|83.320767	AT
N464|2258|83.938694	US
N465|2288|83.696382	US
N466|2230|83.126831	US
N467|654|83.481296	NI
N468|2304|83.473141	US
N469|2530|83.14662	US
N470|2429|75.95951	US
N471|782|82.766358	GB
N472|782|83.769618	GB
N473|733|48.719013	DE
N474|2299|69.072044	US
N475|2299|75.362964	US
N476|2648|82.002581	CA
N477|2614|83.719086	CA
N478|1004|77.06261	MX
N479|1004|80.724234	MX
N480|837|83.925333	NL
N481|2524|80.942583	US
N482|2305|47.424556	US
N483|732|69.57154	DE
N484|2857|83.733792	PL
N485|915|82.47769	GR
N486|983|82.17582	MX
N487|989|63.702792	MX
N488|1021|78.755351	MX
N489|2272|73.603557	US
N490|2272|81.355697	US
N491|1034|80.721132	MX
intNode1	US
intNode2	MX
intNode3	MX
intNode4	MX
intNode5	MX
intNode6	MX
intNode7	IT
intNode8	MX
intNode9	MX
intNode10	MX
intNode11	MX
intNode12	MX
intNode13	MX
intNode14	MX
intNode15	MX
intNode16	MX
intNode17	MX
intNode18	MX
intNode19	BR
intNode20	BR
intNode21	BR
intNode22	EC
intNode23	MX
intNode24	MX
intNode25	MX
intNode26	DE
intNode27	MX
intNode28	MX
intNode29	MX
intNode30	MX
intNode31	US
intNode32	US
intNode33	US
intNode34	US
intNode35	US
intNode36	US
intNode37	US
intNode38	US
intNode39	US
intNode40	US
intNode41	US
intNode42	US
intNode43	US
intNode44	US
intNode45	US
intNode46	PY
intNode47	CA
intNode48	CA
intNode49	CA
intNode50	JP
intNode51	CA
intNode52	PH
intNode53	US
intNode54	US
intNode55	CA
intNode56	US
intNode57	US
intNode58	GB
intNode59	GB
intNode60	US
intNode61	US
intNode62	US
intNode63	US
intNode64	US
intNode65	US
intNode66	US
intNode67	GR
intNode68	US
intNode69	US
intNode70	US
intNode71	US
intNode72	US
intNode73	US
intNode74	US
intNode75	US
intNode76	US
intNode77	US
intNode78	US
intNode79	US
intNode80	US
intNode81	US
intNode82	US
intNode83	US
intNode84	US
intNode85	US
intNode86	US
intNode87	US
intNode88	US
intNode89	US
intNode90	DE
intNode91	US
intNode92	ES
intNode93	ES
