label	location
N398|1027|76.765297	MX
N399|1006|79.222397	MX
N400|1013|62.976164	MX
N401|412|78.607839	CN
N402|412|78.350727	CN
N403|2397|81.67201	US
N404|2397|75.38197	US
N405|2397|75.810326	US
N406|2341|82.892954	US
N407|1010|57.884018	MX
N408|3093|74.046428	IT
N409|2042|68.308063	BR
N410|1007|81.241417	MX
N411|2368|83.782403	US
N412|2368|83.1382	US
N413|2368|83.246575	US
N414|837|77.83981	NL
N415|752|83.203819	DE
N416|990|77.536563	MX
N417|990|81.205016	MX
N418|2623|80.064601	CA
N419|2623|70.804006	CA
N420|2274|82.707507	US
N421|2725|80.63568	CA
N422|981|55.153156	MX
N423|473|83.86556	CN
N424|1377|70.745531	CO
N425|1031|53.260805	MX
N426|1012|64.663615	MX
N427|992|81.984914	MX
N428|1037|78.232586	MX
N429|1037|57.540242	MX
N430|2532|49.688248	US
N431|2175|83.553947	US
N432|2336|76.069442	US
N433|2223|82.35186	US
N434|2223|83.769444	US
N435|2303|83.260309	US
N436|720|76.434722	BE
N437|2904|79.056887	ES
N438|2701|83.436766	CA
N439|2636|82.601665	CA
N440|2636|82.829458	CA
N441|2270|83.422255	US
N442|1465|82.37585	EC
N443|2506|83.442155	US
N444|2165|82.747471	US
N445|3127|82.667058	JP
N446|3205|72.275404	AR
N447|2432|81.847672	US
N448|1036|73.284266	MX
N449|791|66.167719	GB
N450|2733|79.81905	CA
N451|1036|56.22946	MX
N452|2458|82.877861	US
N453|2034|81.66832	BR
N454|2212|82.719877	US
N455|2212|66.646716	US
N456|2212|75.395444	US
N457|2387|83.893748	US
N458|2335|68.9653	US
N459|789|83.292273	GB
N460|2437|79.124629	US
N461|1701|82.893022	VE
N462|2925|83.964479	IE
N463|1699|83.938833	AT
N464|2224|83.71899	US
N465|2257|83.449005	US
N466|2077|80.594783	US
N467|2530|81.795257	US
N468|2366|68.483272	US
N469|1004|57.951939	MX
N470|1004|75.940978	MX
N471|2533|81.093501	US
N472|2272|81.304933	US
N473|2125|74.195131	US
N474|2181|81.606415	US
N475|2181|76.609497	US
N476|2393|75.363993	US
N477|2393|81.025264	US
N478|1008|66.305616	MX
N479|1032|40.457308	MX
N480|1017|81.831066	MX
N481|915|83.831343	GR
N482|2218|73.266404	US
N483|2334|54.489639	US
N484|2479|79.931222	US
N485|1000|80.817207	MX
N486|1003|73.44772	MX
intNode1	US
intNode2	US
intNode3	US
intNode4	US
intNode5	US
intNode6	US
intNode7	US
intNode8	US
intNode9	US
intNode10	US
intNode11	US
intNode12	US
intNode13	US
intNode14	US
intNode15	US
intNode16	US
intNode17	US
intNode18	US
intNode19	US
intNode20	US
intNode21	US
intNode22	US
intNode23	MX
intNode24	MX
intNode25	MX
intNode26	MX
intNode27	MX
intNode28	US
intNode29	US
intNode30	MX
intNode31	MX
intNode32	MX
intNode33	MX
intNode34	MX
intNode35	US
intNode36	US
intNode37	MX
intNode38	MX
intNode39	MX
intNode40	MX
intNode41	MX
intNode42	MX
intNode43	MX
intNode44	MX
intNode45	US
intNode46	US
intNode47	US
intNode48	MX
intNode49	US
intNode50	US
intNode51	US
intNode52	US
intNode53	US
