label	location
f0dp0	LAX
f0dp1	LAX
f0dp2	LAX
f0dp3	LAX
f0dp4	DFW
f0dp5	DFW
f0dp6	MEX
f0dp7	MEX
f0dp8	LAX
f0dp9	LAX
f0dp10	JFK
f0dp11	AKL
f0dp12	LAX
f0dp13	MEX
f0dp14	MEX
f0dp15	MEX
f0dp16	LAX
f0dp17	DFW
f0dp18	DFW
f0dp19	MEX
f0dp20	MEX
f0dp21	MEX
f0dp22	MEX
f0dp23	MEX
f0dp24	MEX
f0dp25	MEX
f0dp26	MEX
f0dp27	CLE
f0dp28	CLE
f0dp29	JFK
f0dp30	JFK
f0dp31	JFK
f0dp32	JFK
f0dp33	JFK
f0dp34	JFK
f0dp35	DFW
f0dp36	YHZ
f0dp37	MEX
f0dp38	YYZ
f0dp39	JFK
f0dp40	JFK
f0dp41	DFW
f0dp42	DFW
f0dp43	DFW
f0dp44	LAX
f0dp45	IND
f0dp46	PHX
f0dp47	DTW
f0dp48	CHS
f0dp49	PHX
f0dp50	ICT
f0dp51	MEX
f0dp52	CLE
f0dp53	JFK
f0dp54	JFK
f0dp55	BOS
f0dp56	BOS
f0dp57	DEN
f0dp58	ICT
f0dp59	LAX
f0dp60	DFW
f0dp61	LHR
f0dp62	ICN
f0dp63	JFK
f0dp64	SAL
f0dp65	MEX
f0dp66	MEX
f0dp67	MEX
f0dp68	MEX
f0dp69	MEX
f0dp70	MEX
f0dp71	MEX
f0dp72	MEX
f0dp73	MEX
f0dp74	MEX
f0dp75	MEX
f0dp76	MEX
f0dp77	MEX
f0dp78	ABQ
f0dp79	LAX
f0dp80	ILG
f0dp81	ILG
f0dp82	MCO
f0dp83	BWI
f0dp84	OMA
f0dp85	MHT
f0dp86	EWR
f0dp87	EWR
f0dp88	JFK
f0dp89	JFK
f0dp90	JFK
f0dp91	JFK
f0dp92	JFK
f0dp93	JFK
f0dp94	JFK
f0dp95	JFK
f0dp96	JFK
f0dp97	JFK
f0dp98	CLT
f0dp99	MEM
f0dp100	DFW
f0dp101	DFW
f0dp102	DFW
f0dp103	IAD
f0dp104	SEA
f0dp105	MKE
f0dp106	MEX
f0dp107	LAX
f0dp108	LAX
f0dp109	ILG
f0dp110	SAL
f0dp111	DSM
f0dp112	ICT
f0dp113	JFK
f0dp114	JFK
f0dp115	JFK
f0dp116	JFK
f0dp117	JFK
f0dp118	JFK
f0dp119	JFK
f0dp120	JFK
f0dp121	JFK
f0dp122	JFK
f0dp123	JFK
f0dp124	CLT
f0dp125	DFW
f0dp126	DFW
f0dp127	DFW
f0dp128	SEA
f0dp129	SEA
f0dp130	SEA
f0dp131	JFK
f0dp132	JFK
f0dp133	JFK
f0dp134	MUC
f0dp135	DCA
f0dp136	DCA
f0dp137	ATL
