distance,analysis,simulation
165404.3,1,1
66717.49,2,1
109604.5,3,1
73482.12,4,1
94686.72,1,2
124396.6,2,2
110380.9,3,2
89861.63,4,2
141370.4,1,3
122451.7,2,3
141865.9,3,3
94846.24,4,3
117773.8,1,4
197590.4,2,4
100939.9,3,4
81075.67,4,4
150769.7,1,5
105692.3,2,5
131999.3,3,5
111778.2,4,5
187138.2,1,6
98668.48,2,6
140932.8,3,6
134097.2,4,6
152373,1,7
69441.61,2,7
104784.3,3,7
101971.8,4,7
115550.3,1,8
39591.53,2,8
133128.6,3,8
109307.1,4,8
204964.5,1,9
58850.34,2,9
129349.7,3,9
73672.73,4,9
176295.8,1,10
68808.24,2,10
89174.01,3,10
65348.99,4,10
128855.4,1,11
94420.29,2,11
102162.8,3,11
88212.95,4,11
162465,1,12
89327.76,2,12
125529.8,3,12
120200.6,4,12
141986.7,1,13
94470.49,2,13
118339.1,3,13
113308.9,4,13
147682.9,1,14
62496.5,2,14
102937.7,3,14
64041.05,4,14
168448.3,1,15
93355.53,2,15
130232.1,3,15
141539.7,4,15
220031.9,1,16
214096.8,2,16
148808.3,3,16
151480.1,4,16
100448.3,1,17
72510.66,2,17
86244.34,3,17
91027.27,4,17
146623.3,1,18
125215,2,18
152801.4,3,18
100661.4,4,18
198557.4,1,19
271340.2,2,19
126999.3,3,19
78561.7,4,19
164407.1,1,20
127164.9,2,20
126435.7,3,20
99726.57,4,20
123140.7,1,21
94341.6,2,21
113571.8,3,21
103702,4,21
122915.7,1,22
67658.31,2,22
127944.2,3,22
55841.5,4,22
181248.2,1,23
135476.6,2,23
139356.9,3,23
127526.1,4,23
158524.9,1,24
108366.2,2,24
127818.5,3,24
75989.19,4,24
104787.8,1,25
48293.15,2,25
97072.31,3,25
80226.71,4,25
92885.47,1,26
80629.61,2,26
89925.25,3,26
101022.7,4,26
220230.9,1,27
119558.5,2,27
125116.9,3,27
75642.11,4,27
179939.1,1,28
84096.51,2,28
123171.2,3,28
83865.4,4,28
133956.8,1,29
80692.97,2,29
143640.4,3,29
106865.8,4,29
168996.8,1,30
129993.1,2,30
166100.2,3,30
168610.7,4,30
266005,1,31
94083.31,2,31
136009.4,3,31
101149.2,4,31
196527.2,1,32
82295.48,2,32
125576.6,3,32
114950.1,4,32
132504.4,1,33
94085.05,2,33
169877.8,3,33
105953.5,4,33
140860,1,34
123267.7,2,34
116286.8,3,34
65898.84,4,34
118923.1,1,35
73038.33,2,35
135523.9,3,35
80625.63,4,35
229693.4,1,36
210472.8,2,36
110961.9,3,36
93764.11,4,36
174011.5,1,37
113656.9,2,37
111954.8,3,37
126131.4,4,37
183886.9,1,38
74835.93,2,38
123295,3,38
99379.25,4,38
191758.7,1,39
225634.6,2,39
131543.8,3,39
85886.91,4,39
179901.8,1,40
94186.4,2,40
134756,3,40
84907.08,4,40
179826.6,1,41
117353.3,2,41
127401.1,3,41
111570.4,4,41
206437.3,1,42
165318.7,2,42
101465.7,3,42
91043.82,4,42
140215.2,1,43
97057.95,2,43
82897.93,3,43
100698.4,4,43
146901.9,1,44
139425.7,2,44
121876.5,3,44
91489.67,4,44
152850.9,1,45
99573.56,2,45
107102,3,45
86731.3,4,45
153902,1,46
114436.5,2,46
103397.9,3,46
83594.91,4,46
133956.5,1,47
99479,2,47
116879.3,3,47
91269.93,4,47
156821.6,1,48
91265.08,2,48
131158,3,48
97501.75,4,48
113311.6,1,49
78536.81,2,49
127250.3,3,49
109149.5,4,49
182960,1,50
71036.02,2,50
120761.2,3,50
67883.65,4,50
